[INFO    :   django.utils.autoreload] - 2024-02-03 15:38:24,527 : run_with_reloader @ 0668: Watching for file changes with StatReloader
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,359 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1706875349.9272642
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,360 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1706875377.6604016
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,361 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,362 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1706875377.7275374
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,362 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\struct.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,363 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\socketserver.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,364 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\template\engine.py first seen with mtime 1706875377.308413
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,365 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1706875376.5211594
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,365 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py first seen with mtime 1701976814.0
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,366 : tick @ 0394: File C:\Users\korotkevich\PycharmProjects\petProject\venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1706875344.3981588
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:20,367 : tick @ 0394: File C:\Users\korotkevich\AppData\Local\Programs\Python\Python312\Lib\asyncio\locks.py first seen with mtime 1701976814.0
